1980	07	02	FO	GL	6	0	GRN	IS	15	1218	985	+3	−	130	163
1980	07	03	IS	GL	4	1	GRN		3	1364	982	+1	−1	96	164
1983	06	29	GL	FO	0	0	GRN		5	987	1193	0	−2	165	140
1983	07	03	GL	FO	2	3	GRN		-11	976	1204	0	+2	165	138
1984	08	03	IS	GL	1	0	GRN	FO	2	1455	974	+1	0	82	166
1984	08	05	FO	GL	1	0	GRN		4	1210	970	+2	0	137	166
1984	08	07	FO	GL	4	2	F		4	1214	966	+2	0	135	166
1989	07	09	FO	GL	3	0	IG		8	1224	958	+2	0	132	172
1991	06	25	FO	GL	3	2	IG	FI	6	1276	952	−1	−1	124	176
1993	07	06	GL	GI	5	0	IG	EN	56	1008	1044	+3	−	188	182
1995	07	16	GI	GL	0	1	IG		-27	1017	1035	−7	+6	187	182
1997	07	02	GI	GL	5	1	IG	UK	39	1056	996	+6	−5	180	188
2001	06	30	GL	TE	4	1	F	DK	5	1001	680	0	0	188	216
2001	07	12	GL	FK	4	0	IG	UK	7	1008	593	0	−	188	223
2003	06	30	GI	GL	2	0	IG	UK	26	1078	982	+4	0	178	189
2006	05	29	NS	GL	1	0	MWC	DE	2	1465	980	0	0	93	189
2006	05	31	ZN	GL	4	2	MWC	DE	13	1215	967	+4	−1	152	190
2013	07	14	BM	GL	3	0	IG		10	1195	957	+2	−1	159	194
2013	07	17	GL	FK	9	0	IG	BM	11	968	580	+2	0	192	231
2013	07	18	BM	GL	1	0	IG		5	1202	963	+3	−1	155	193
2023	07	11	BM	GL	3	2	IG	UK	10	1168	953	0	0	166	192
2024	06	01	TM	GL	5	0	F	TR	7	1220	946	+1	0	159	192